_date,total_views,unique_views
2022-12-06,8,2
2022-12-07,18,5
2022-12-08,8,3
2022-12-09,2,2
2022-12-10,3,2
2022-12-11,41,6
2022-12-12,2,1
2022-12-13,78,11
2022-12-14,4,3
2022-12-15,9,5
2022-12-16,2,2
2022-12-17,7,1
2022-12-18,3,2
2022-12-19,45,6
2022-12-20,214,7
2022-12-21,23,5
2022-12-22,13,4
2022-12-23,10,3
2022-12-25,4,3
2022-12-26,12,3
2022-12-27,1,1
2022-12-28,1,1
2022-12-29,6,6
2022-12-30,1,1
2022-12-31,3,2
2023-01-01,1,1
2023-01-02,4,3
2023-01-03,10,2
2023-01-04,19,5
2023-01-05,15,10
2023-01-06,8,3
2023-01-08,3,3
2023-01-09,39,6
2023-01-10,14,6
2023-01-11,22,7
2023-01-12,38,7
2023-01-13,9,7
2023-01-14,4,2
2023-01-15,1,1
2023-01-16,7,3
2023-01-17,12,9
2023-01-18,11,5
2023-01-19,17,8
2023-01-20,29,6
2023-01-21,9,3
2023-01-22,16,9
2023-01-23,19,8
2023-01-24,18,9
2023-01-25,178,62
2023-01-26,37,20
2023-01-27,27,15
2023-01-28,8,5
2023-01-29,23,6
2023-01-30,56,10
2023-01-31,72,22
2023-02-01,105,24
2023-02-02,38,13
2023-02-03,45,10
2023-02-04,9,4
2023-02-05,27,7
2023-02-06,47,10
2023-02-07,23,8
2023-02-08,27,11
2023-02-09,40,11
2023-02-10,21,7
2023-02-11,1,1
2023-02-12,1,1
2023-02-13,31,9
2023-02-14,36,18
2023-02-15,37,10
2023-02-16,16,9
2023-02-17,27,12
2023-02-18,5,5
2023-02-19,17,3
2023-02-20,14,9
2023-02-21,37,17
2023-02-22,11,8
2023-02-23,28,13
2023-02-24,25,10
2023-02-25,4,4
2023-02-26,4,4
2023-02-27,20,12
2023-02-28,22,10
2023-03-01,10,5
2023-03-02,41,16
2023-03-03,32,6
2023-03-04,6,3
2023-03-05,1,1
2023-03-06,12,6
2023-03-07,31,9
2023-03-08,17,10
2023-03-09,38,10
2023-03-10,22,14
2023-03-11,7,4
2023-03-12,15,7
2023-03-13,16,8
2023-03-14,39,10
2023-03-15,63,23
2023-03-16,5,5
2023-03-17,8,6
2023-03-18,7,7
2023-03-19,46,3
2023-03-20,28,12
2023-03-21,14,6
2023-03-22,21,8
2023-03-23,27,8
2023-03-24,16,10
2023-03-25,1,1
2023-03-26,1,1
2023-03-27,62,8
2023-03-28,20,8
2023-03-29,72,22
2023-03-30,21,13
2023-03-31,23,13
2023-04-01,11,5
2023-04-02,4,4
2023-04-03,28,14
2023-04-04,38,13
2023-04-05,27,14
2023-04-06,16,8
2023-04-07,12,8
2023-04-08,15,3
2023-04-09,1,1
2023-04-10,10,8
2023-04-11,36,6
2023-04-12,17,11
2023-04-13,32,11
2023-04-14,86,13
2023-04-15,26,6
2023-04-16,2,1
2023-04-17,14,6
2023-04-18,6,5
2023-04-19,22,7
2023-04-20,42,12
2023-04-21,37,14
2023-04-22,12,3
2023-04-23,17,4
2023-04-24,28,14
2023-04-25,8,6
2023-04-26,11,5
2023-04-27,23,9
2023-04-28,10,6
2023-04-29,2,1
2023-04-30,14,4
2023-05-01,34,7
2023-05-02,24,15
2023-05-03,16,10
2023-05-04,16,7
2023-05-05,30,11
2023-05-06,1,1
2023-05-07,42,5
2023-05-08,16,9
2023-05-09,37,7
2023-05-10,20,6
2023-05-11,29,12
2023-05-12,24,7
2023-05-13,6,3
2023-05-14,3,3
2023-05-15,80,13
2023-05-16,8,4
2023-05-17,9,6
2023-05-18,11,7
2023-05-19,10,4
2023-05-20,1,1
2023-05-21,6,2
2023-05-22,58,9
2023-05-23,18,10
2023-05-24,65,13
2023-05-25,44,12
2023-05-26,8,3
2023-05-27,1,1
2023-05-28,10,3
2023-05-29,32,6
2023-05-30,31,10
2023-05-31,14,5
2023-06-01,17,6
2023-06-02,7,4
2023-06-03,1,1
2023-06-05,22,10
2023-06-06,107,14
2023-06-07,84,9
2023-06-08,15,4
2023-06-09,38,9
2023-06-10,2,2
2023-06-11,11,5
2023-06-12,48,12
2023-06-13,17,8
2023-06-14,17,7
2023-06-15,32,7
2023-06-16,71,13
2023-06-17,14,1
2023-06-18,1,1
2023-06-19,55,8
2023-06-20,32,9
2023-06-21,73,8
2023-06-22,48,16
2023-06-23,27,6
2023-06-24,23,2
2023-06-25,6,5
2023-06-26,59,10
2023-06-27,30,7
2023-06-28,22,5
2023-06-29,38,8
2023-06-30,20,6
2023-07-01,2,2
2023-07-02,1,1
2023-07-03,28,6
2023-07-04,4,3
2023-07-05,29,8
2023-07-06,30,13
2023-07-07,17,4
2023-07-08,2,1
2023-07-09,4,3
2023-07-10,10,4
2023-07-11,60,3
2023-07-12,27,2
2023-07-13,10,8
2023-07-14,9,7
2023-07-15,7,3
2023-07-16,17,2
2023-07-17,48,12
2023-07-18,39,11
2023-07-19,28,6
2023-07-20,5,2
2023-07-21,10,6
2023-07-22,58,4
2023-07-23,1,1
2023-07-24,48,10
2023-07-25,6,4
2023-07-26,165,8
2023-07-27,37,7
2023-07-28,32,4
2023-07-30,5,3
2023-07-31,28,7
2023-08-01,52,5
2023-08-02,35,5
2023-08-03,26,6
2023-08-04,19,9
2023-08-05,7,3
2023-08-06,4,3
2023-08-07,16,14
2023-08-08,54,9
2023-08-09,32,8
2023-08-10,120,5
2023-08-11,15,5
2023-08-12,11,5
2023-08-14,170,6
2023-08-15,34,10
2023-08-16,53,6
2023-08-17,223,23
2023-08-18,168,9
2023-08-19,30,3
2023-08-20,1,1
2023-08-21,21,6
2023-08-22,15,6
2023-08-23,12,5
2023-08-24,9,2
2023-08-25,5,4
2023-08-27,7,1
2023-08-28,57,5
2023-08-29,31,5
2023-08-30,6,6
2023-08-31,33,11
2023-09-01,3,3
2023-09-02,2,2
2023-09-04,36,9
2023-09-05,29,4
2023-09-06,12,4
2023-09-07,36,10
2023-09-08,33,8
2023-09-11,25,9
2023-09-12,9,7
2023-09-13,8,4
2023-09-14,17,7
2023-09-15,6,6
2023-09-16,77,5
2023-09-17,1,1
2023-09-18,113,12
2023-09-19,65,14
2023-09-20,28,13
2023-09-21,16,8
2023-09-22,39,6
2023-09-24,2,2
2023-09-25,11,8
2023-09-26,37,7
2023-09-27,66,11
2023-09-28,19,9
2023-09-29,31,3
2023-10-02,60,8
2023-10-03,28,7
2023-10-04,69,12
2023-10-05,18,7
2023-10-06,1,1
2023-10-07,5,1
2023-10-08,7,1
2023-10-09,12,3
2023-10-10,4,3
2023-10-11,14,10
2023-10-12,27,7
2023-10-13,47,7
2023-10-14,21,2
2023-10-15,2,1
2023-10-16,82,8
2023-10-17,9,9
2023-10-18,4,4
2023-10-19,8,5
2023-10-20,12,5
2023-10-22,3,1
2023-10-23,10,7
2023-10-24,32,13
2023-10-25,36,5
2023-10-26,9,7
2023-10-27,106,11
2023-10-28,84,4
2023-10-29,71,4
2023-10-30,59,7
2023-10-31,27,9
2023-11-01,18,7
2023-11-02,24,10
2023-11-03,6,6
2023-11-06,45,10
2023-11-07,41,13
2023-11-08,14,9
2023-11-09,28,6
2023-11-10,25,7
2023-11-11,11,5
2023-11-12,1,1
2023-11-13,107,5
2023-11-14,7,2
2023-11-15,2,2
2023-11-16,20,6
2023-11-17,45,6
2023-11-18,1,1
2023-11-19,1,1
2023-11-20,13,5
2023-11-21,9,3
2023-11-22,18,5
2023-11-23,39,7
2023-11-25,3,2
2023-11-26,1,1
2023-11-27,24,10
2023-11-28,21,9
2023-11-29,4,2
2023-11-30,23,4
